...1,grupo,separado_clasica,separado_arbol,magnitude
5,1-G6,FALSE,TRUE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,moderate
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,negligible
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,TRUE,moderate
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,TRUE,TRUE,large
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,TRUE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,moderate
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,TRUE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,negligible
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,moderate
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,negligible
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,negligible
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,negligible
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,TRUE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,TRUE,moderate
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,moderate
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,TRUE,moderate
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,moderate
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,moderate
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,TRUE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,TRUE,moderate
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,negligible
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,TRUE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,negligible
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,TRUE,moderate
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,TRUE,TRUE,large
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,TRUE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,negligible
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,TRUE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,negligible
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,negligible
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,negligible
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,moderate
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,negligible
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,negligible
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,negligible
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,negligible
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,moderate
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,negligible
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,moderate
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,moderate
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,TRUE,moderate
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,moderate
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,negligible
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,moderate
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,negligible
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,moderate
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,FALSE,small
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,TRUE,moderate
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,FALSE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
3,1-4,TRUE,TRUE,large
4,1-G5,TRUE,TRUE,large
5,1-G6,FALSE,TRUE,small
6,2-3,TRUE,TRUE,large
7,2-4,TRUE,TRUE,large
8,2-G5,FALSE,FALSE,small
9,2-G6,TRUE,TRUE,large
10,3-4,TRUE,TRUE,large
11,3-G5,TRUE,TRUE,large
12,3-G6,FALSE,TRUE,moderate
13,4-G5,TRUE,TRUE,large
14,4-G6,TRUE,TRUE,large
15,G5-G6,TRUE,TRUE,large
1,1-2,TRUE,TRUE,large
2,1-3,FALSE,FALSE,small
